Rk,Player,PTS,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,GmSc,BPM,+/-,Pos.,Player-additional
789,Stephen Curry,15,2010-01-20,21-312,GSW,,DEN,L 118-123 (OT),*,49,6,17,0.353,3,9,0.333,3,8,0.375,0,0,,0.441,0,3,3,6,1,0,3,2,15,7.8,-5.6,-2,G,curryst01
790,Stephen Curry,15,2010-01-27,21-319,GSW,,NOH,L 110-123,*,41,7,13,0.538,6,10,0.6,1,3,0.333,0,0,,0.577,0,5,5,8,3,0,5,4,15,12.2,-3.4,-5,G,curryst01
791,Stephen Curry,15,2010-03-11,21-362,GSW,,POR,L 105-110,*,33,6,15,0.4,4,8,0.5,2,7,0.286,1,1,1.0,0.486,2,3,5,3,2,0,4,5,15,7.3,-4.9,-10,G,curryst01
792,Stephen Curry,15,2010-03-31,22-017,GSW,@,UTA,L 104-128,*,34,6,16,0.375,5,12,0.417,1,4,0.25,2,3,0.667,0.433,1,1,2,6,0,0,4,5,15,5.0,-6.9,-14,G,curryst01
793,Stephen Curry,15,2010-04-02,22-019,GSW,,NYK,W 128-117,*,29,7,21,0.333,6,16,0.375,1,5,0.2,0,0,,0.357,1,3,4,10,1,0,2,1,15,10.3,-7.1,-4,G,curryst01
794,Stephen Curry,15,2011-01-01,22-293,GSW,@,MIA,L 107-114,*,36,7,12,0.583,6,10,0.6,1,2,0.5,0,0,,0.625,1,1,2,6,3,0,1,5,15,14.6,5.5,-12,G,curryst01
795,Stephen Curry,15,2011-01-03,22-295,GSW,@,ORL,L 90-110,*,35,5,13,0.385,2,7,0.286,3,6,0.5,2,2,1.0,0.54,0,6,6,5,2,0,5,3,15,9.0,-0.7,-13,G,curryst01
796,Stephen Curry,15,2011-01-07,22-299,GSW,,CLE,W 116-98,*,25,4,7,0.571,1,3,0.333,3,4,0.75,4,4,1.0,0.856,0,2,2,4,2,1,0,2,15,17.0,15.4,15,G,curryst01
797,Stephen Curry,15,2011-01-12,22-304,GSW,,LAL,L 110-115,*,38,5,12,0.417,4,6,0.667,1,6,0.167,4,4,1.0,0.545,1,3,4,10,2,0,3,3,15,15.0,-0.6,2,G,curryst01
798,Stephen Curry,15,2011-02-07,22-330,GSW,,PHO,L 92-104,*,44,7,17,0.412,7,11,0.636,0,6,0.0,1,1,1.0,0.43,0,2,2,8,1,0,5,1,15,7.7,-6.1,-12,G,curryst01
799,Stephen Curry,15,2011-03-09,22-360,GSW,@,NJN,L 90-94,*,30,6,15,0.4,4,11,0.364,2,4,0.5,1,1,1.0,0.486,0,3,3,3,2,0,3,3,15,7.7,-2.6,-13,G,curryst01
800,Stephen Curry,15,2011-03-18,23-004,GSW,@,PHO,L 97-108,*,35,6,13,0.462,4,8,0.5,2,5,0.4,1,1,1.0,0.558,1,1,2,5,0,0,2,3,15,9.6,-0.3,-18,G,curryst01
801,Stephen Curry,15,2012-01-27,23-319,GSW,,OKC,L 109-120,*,27,6,16,0.375,4,9,0.444,2,7,0.286,1,1,1.0,0.456,0,2,2,6,2,0,4,4,15,7.4,-5.7,-9,G,curryst01
802,Stephen Curry,15,2012-03-07,23-359,GSW,,MEM,L 92-110,,24,7,11,0.636,6,9,0.667,1,2,0.5,0,0,,0.682,0,4,4,3,0,0,2,3,15,10.2,1.6,4,G,curryst01
